id,gender,grade,math,english
1,female,3,9.5,10
2,female,4,4.5,6.5
3,male,3,3,5.5
4,male,3,6,5.5
5,female,4,5.5,5.5
6,female,4,6.5,8
7,male,2,6,8
8,female,6,7.5,8
9,male,5,9.5,8
10,male,6,9,8
11,male,6,9,8
12,male,3,9,8
13,female,3,9,9.5
14,female,3,4.5,9.5
15,female,2,6.5,9.5
16,female,2,7,10
17,female,2,7,10
18,male,4,8.5,4.5
19,female,6,6.5,5
20,male,6,7,6
21,male,5,8.5,5
22,female,5,7,5
23,female,4,6.5,7.5
24,male,3,8,7
25,female,3,8,6.5
26,female,4,8,6
27,male,5,9.5,6.5
28,female,6,9,8
29,male,2,4.5,8
30,male,4,5,9.5
31,female,3,5.5,10
32,female,4,6.5,4.5
33,male,4,7,5.5
34,male,4,7,6
35,male,4,6.5,6.5
36,female,5,8,7
37,female,5,8,7.5
38,male,6,8.5,8
39,male,3,9,8.5
40,male,2,7.5,9
41,male,4,6,9.5
42,male,5,6,8.5
43,female,4,5.5,10
44,female,3,4.5,5.5
45,female,4,6.5,5
46,male,4,8.5,5
47,male,4,8,5
48,female,6,8,5
49,male,6,9.5,5
50,female,6,9,4.5
51,female,6,9,10
52,male,3,5.5,10
53,male,4,4.5,10
54,female,3,6,10
55,male,5,7,7.5
56,female,5,6,8
57,male,3,6,8
58,female,2,6,8
59,female,3,7.5,6.5
60,male,4,8,4.5
61,male,4,8.5,7.5
62,female,3,9,8.5
63,male,2,9,8
64,female,5,9,8
65,male,5,9.5,8
66,female,5,5.5,8
67,female,6,5.5,8
68,male,6,6,8
69,male,6,7.5,8
70,female,6,7,8
71,male,6,8.5,9.5
72,female,6,8,10
73,male,4,5.5,9
74,female,5,6,9
75,male,5,5.5,9
76,female,2,6,5.5
77,male,2,7,5
78,female,2,8,5.5
79,male,2,7,6
80,female,3,7,6.5
81,male,3,7,7
82,male,4,7.5,7
83,female,4,8,8.5
84,female,4,8,9
85,male,4,8.5,9
86,male,3,9,9
87,female,3,9.5,5.5
88,female,5,10,9.5
89,male,5,7.5,10
90,male,5,5.5,8
91,female,6,4.5,8
92,female,6,8,8
93,male,6,8,8
94,male,6,10,8
95,female,2,6.5,8
96,female,2,10,8
97,female,2,8,8
98,male,3,8.5,9
99,male,3,6,9
100,male,4,6.5,5.5
